source_file,metric,metric_label,unit6_value,unit7_value,difference_7_minus_6,fractional_difference_7_minus_6,classification,reasoning_category,interpretation
outputs\metrics\seed_contact_network_edges.csv,contact_count,chain-summed total contacts,1740.000000,2256.000000,516.000000,0.296552,favors_7,absolute_network_growth,chain-summed total contacts uses chain-level edge rows and separates contact chemistry where existing edge data allow it.
outputs\metrics\seed_contact_network_edges.csv,CYP_MEP_vs_CYP_MEP_count,CYP/MEP vs CYP/MEP contacts,1590.000000,2046.000000,456.000000,0.286792,favors_7,absolute_network_growth,CYP/MEP vs CYP/MEP contacts uses chain-level edge rows and separates contact chemistry where existing edge data allow it.
outputs\metrics\seed_contact_network_edges.csv,CYP_MEP_vs_GLU_count,CYP/MEP vs GLU contacts,15.000000,21.000000,6.000000,0.400000,favors_7,absolute_network_growth,CYP/MEP vs GLU contacts uses chain-level edge rows and separates contact chemistry where existing edge data allow it.
outputs\metrics\seed_contact_network_edges.csv,GLU_vs_GLU_count,GLU vs GLU contacts,135.000000,189.000000,54.000000,0.400000,favors_7,absolute_network_growth,GLU vs GLU contacts uses chain-level edge rows and separates contact chemistry where existing edge data allow it.
outputs\metrics\seed_contact_network_edges.csv,unit_edge_contact_count,contacts involving terminal/edge units,708.000000,708.000000,0.000000,0.000000,mixed_or_negligible,possible_edge_effect,contacts involving terminal/edge units is a coarse edge-effect proxy from unit-level contact edges.
outputs\metrics\seed_contact_network_edges.csv,unit_internal_contact_count,contacts involving only internal units,1032.000000,1548.000000,516.000000,0.500000,favors_7,possible_edge_effect,contacts involving only internal units is a coarse edge-effect proxy from unit-level contact edges.
outputs\metrics\seed_contact_network_edges.csv,unit_edge_contact_fraction,fraction of unit-edge contacts involving terminal/edge units,0.406897,0.313830,-0.093067,-0.228723,favors_6,possible_edge_effect,fraction of unit-edge contacts involving terminal/edge units is a coarse edge-effect proxy from unit-level contact edges.
outputs\metrics\seed_6_7_transition_summary.csv,formed_perturbed:CYP_MEP_contact_fraction_vs_target,formed_perturbed CYP/MEP contact fraction vs target,0.807726,0.809685,0.001959,0.002425,mixed_or_negligible,normalized_fraction,CYP/MEP contact fraction vs target compares normalized/order-parameter means for the formed_perturbed ensemble.
outputs\metrics\seed_6_7_transition_summary.csv,formed_perturbed:contact_fraction_vs_target,formed_perturbed total contact fraction vs target,0.805178,0.805585,0.000407,0.000505,mixed_or_negligible,normalized_fraction,total contact fraction vs target compares normalized/order-parameter means for the formed_perturbed ensemble.
outputs\metrics\seed_6_7_transition_summary.csv,formed_perturbed:compactness_score,formed_perturbed compactness,0.997380,0.996952,-0.000428,-0.000429,mixed_or_negligible,geometric_register,compactness compares normalized/order-parameter means for the formed_perturbed ensemble.
outputs\metrics\seed_6_7_transition_summary.csv,formed_perturbed:axial_register_score,formed_perturbed axial register,0.894824,0.885768,-0.009056,-0.010120,favors_6,geometric_register,axial register compares normalized/order-parameter means for the formed_perturbed ensemble.
outputs\metrics\seed_6_7_transition_summary.csv,formed_perturbed:RMSD_to_formed_seed_A,formed_perturbed RMSD to formed seed,0.618511,0.638805,0.020294,0.032811,favors_6,geometric_register,RMSD to formed seed compares normalized/order-parameter means for the formed_perturbed ensemble.
outputs\metrics\seed_6_7_transition_summary.csv,formed_perturbed:seed_formation_score,formed_perturbed seed formation score,0.909636,0.904958,-0.004678,-0.005143,favors_6,normalized_fraction,seed formation score compares normalized/order-parameter means for the formed_perturbed ensemble.
outputs\metrics\seed_6_7_transition_summary.csv,loose_initial:CYP_MEP_contact_fraction_vs_target,loose_initial CYP/MEP contact fraction vs target,0.039171,0.013643,-0.025528,-0.651707,favors_6,normalized_fraction,CYP/MEP contact fraction vs target compares normalized/order-parameter means for the loose_initial ensemble.
outputs\metrics\seed_6_7_transition_summary.csv,loose_initial:contact_fraction_vs_target,loose_initial total contact fraction vs target,0.040523,0.013621,-0.026902,-0.663870,favors_6,normalized_fraction,total contact fraction vs target compares normalized/order-parameter means for the loose_initial ensemble.
outputs\metrics\seed_6_7_transition_summary.csv,loose_initial:compactness_score,loose_initial compactness,0.575031,0.600787,0.025756,0.044791,favors_7,geometric_register,compactness compares normalized/order-parameter means for the loose_initial ensemble.
outputs\metrics\seed_6_7_transition_summary.csv,loose_initial:axial_register_score,loose_initial axial register,0.437444,0.427521,-0.009923,-0.022684,favors_6,geometric_register,axial register compares normalized/order-parameter means for the loose_initial ensemble.
outputs\metrics\seed_6_7_transition_summary.csv,loose_initial:RMSD_to_formed_seed_A,loose_initial RMSD to formed seed,14.793849,15.105454,0.311605,0.021063,favors_6,geometric_register,RMSD to formed seed compares normalized/order-parameter means for the loose_initial ensemble.
outputs\metrics\seed_6_7_transition_summary.csv,loose_initial:seed_formation_score,loose_initial seed formation score,0.458598,0.455685,-0.002913,-0.006352,favors_6,normalized_fraction,seed formation score compares normalized/order-parameter means for the loose_initial ensemble.
outputs\metrics\seed_6_7_transition_summary.csv,angular_randomized_loose_initial:CYP_MEP_contact_fraction_vs_target,angular_randomized_loose_initial CYP/MEP contact fraction vs target,0.005938,0.007552,0.001614,0.271809,favors_7,normalized_fraction,CYP/MEP contact fraction vs target compares normalized/order-parameter means for the angular_randomized_loose_initial ensemble.
outputs\metrics\seed_6_7_transition_summary.csv,angular_randomized_loose_initial:contact_fraction_vs_target,angular_randomized_loose_initial total contact fraction vs target,0.005931,0.007473,0.001542,0.259990,favors_7,normalized_fraction,total contact fraction vs target compares normalized/order-parameter means for the angular_randomized_loose_initial ensemble.
outputs\metrics\seed_6_7_transition_summary.csv,angular_randomized_loose_initial:compactness_score,angular_randomized_loose_initial compactness,0.597233,0.620286,0.023053,0.038600,favors_7,geometric_register,compactness compares normalized/order-parameter means for the angular_randomized_loose_initial ensemble.
outputs\metrics\seed_6_7_transition_summary.csv,angular_randomized_loose_initial:axial_register_score,angular_randomized_loose_initial axial register,0.428850,0.440355,0.011505,0.026828,favors_7,geometric_register,axial register compares normalized/order-parameter means for the angular_randomized_loose_initial ensemble.
outputs\metrics\seed_6_7_transition_summary.csv,angular_randomized_loose_initial:RMSD_to_formed_seed_A,angular_randomized_loose_initial RMSD to formed seed,19.035960,19.521899,0.485939,0.025527,favors_6,geometric_register,RMSD to formed seed compares normalized/order-parameter means for the angular_randomized_loose_initial ensemble.
outputs\metrics\seed_6_7_transition_summary.csv,angular_randomized_loose_initial:seed_formation_score,angular_randomized_loose_initial seed formation score,0.361553,0.361750,0.000197,0.000545,mixed_or_negligible,normalized_fraction,seed formation score compares normalized/order-parameter means for the angular_randomized_loose_initial ensemble.
outputs\metrics\seed_bridge_activation_summary_angular_randomized.csv,angular_activation:CYP_MEP_contact_fraction_vs_target,angular-randomized CYP/MEP activation time,0.775000,0.750000,-0.025000,-0.032258,favors_7,normalized_fraction,Lower median activation time means earlier threshold crossing in the angular-randomized bridge diagnostics.
outputs\metrics\seed_bridge_activation_summary_angular_randomized.csv,angular_activation:contact_fraction_vs_target,angular-randomized total-contact activation time,0.800000,0.750000,-0.050000,-0.062500,favors_7,normalized_fraction,Lower median activation time means earlier threshold crossing in the angular-randomized bridge diagnostics.
outputs\metrics\seed_bridge_activation_summary_angular_randomized.csv,angular_activation:compactness_score,angular-randomized compactness activation time,0.800000,0.750000,-0.050000,-0.062500,favors_7,normalized_fraction,Lower median activation time means earlier threshold crossing in the angular-randomized bridge diagnostics.
outputs\metrics\seed_bridge_activation_summary_angular_randomized.csv,angular_activation:axial_register_score,angular-randomized axial-register activation time,0.800000,0.775000,-0.025000,-0.031250,favors_7,normalized_fraction,Lower median activation time means earlier threshold crossing in the angular-randomized bridge diagnostics.
outputs\metrics\seed_bridge_activation_summary_angular_randomized.csv,angular_activation:rmsd_formedness_score,angular-randomized RMSD formedness activation time,0.750000,0.750000,0.000000,0.000000,mixed_or_negligible,normalized_fraction,Lower median activation time means earlier threshold crossing in the angular-randomized bridge diagnostics.
outputs\metrics\seed_bridge_activation_summary_angular_randomized.csv,angular_activation:seed_formation_score,angular-randomized seed-score activation time,0.800000,0.750000,-0.050000,-0.062500,favors_7,normalized_fraction,Lower median activation time means earlier threshold crossing in the angular-randomized bridge diagnostics.
