unit_count,feature,threshold_mode,threshold_fraction,loose_mean,formed_mean,threshold_value,mean_activation_time,median_activation_time,std_activation_time,fraction_crossed,mean_rank,median_rank,first_feature_frequency,second_feature_frequency,interpretation_note,warnings
4,axial_register_score,formed_fraction,0.75,0.421120,0.891062,0.773576,0.769500,0.775000,0.087434,1.000000,4.080000,4.000000,0.270000,0.210000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,rmsd_formedness_score,formed_fraction,0.75,0.208897,0.897383,0.725262,0.772000,0.750000,0.025807,1.000000,3.765000,3.500000,0.000000,0.070000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,seed_formation_score,formed_fraction,0.75,0.344769,0.910988,0.769433,0.774500,0.750000,0.026921,1.000000,3.895000,3.500000,0.000000,0.000000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,refined_angular_phase_score,formed_fraction,0.75,0.700060,0.997902,0.923442,0.739500,0.800000,0.138978,1.000000,4.065000,4.500000,0.270000,0.090000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,compactness_score,formed_fraction,0.80,0.546209,0.995587,0.905711,0.824500,0.850000,0.027834,1.000000,4.005000,4.000000,0.060000,0.310000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,contact_fraction_vs_target,formed_fraction,0.80,0.004777,0.801163,0.641886,0.829500,0.800000,0.053896,1.000000,4.060000,3.500000,0.030000,0.180000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,CYP_MEP_contact_fraction_vs_target,formed_fraction,0.80,0.004742,0.807992,0.647342,0.830500,0.825000,0.055630,1.000000,4.115000,4.000000,0.370000,0.180000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,axial_register_score,formed_fraction,0.80,0.421120,0.891062,0.797073,0.822500,0.850000,0.080739,1.000000,4.100000,4.000000,0.270000,0.190000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,rmsd_formedness_score,formed_fraction,0.80,0.208897,0.897383,0.759686,0.824500,0.800000,0.025976,1.000000,3.900000,3.500000,0.000000,0.060000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,seed_formation_score,formed_fraction,0.80,0.344769,0.910988,0.797744,0.823500,0.800000,0.026884,1.000000,3.790000,3.500000,0.000000,0.000000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,refined_angular_phase_score,formed_fraction,0.80,0.700060,0.997902,0.938334,0.793000,0.850000,0.120212,1.000000,4.030000,4.250000,0.270000,0.080000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,compactness_score,formed_fraction,0.50,0.569001,0.995874,0.782437,0.519000,0.550000,0.049890,1.000000,3.975000,4.000000,0.120000,0.180000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,contact_fraction_vs_target,formed_fraction,0.50,0.005504,0.804380,0.404942,0.527500,0.550000,0.035620,1.000000,4.090000,4.000000,0.000000,0.160000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,CYP_MEP_contact_fraction_vs_target,formed_fraction,0.50,0.005499,0.809377,0.407438,0.528000,0.550000,0.034871,1.000000,4.125000,4.000000,0.280000,0.230000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,axial_register_score,formed_fraction,0.50,0.411398,0.894733,0.653065,0.514500,0.550000,0.113863,1.000000,4.145000,4.000000,0.230000,0.270000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,rmsd_formedness_score,formed_fraction,0.50,0.214419,0.891467,0.552943,0.521000,0.500000,0.029309,1.000000,3.805000,3.500000,0.000000,0.080000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,seed_formation_score,formed_fraction,0.50,0.351245,0.908080,0.629663,0.523500,0.500000,0.033507,1.000000,3.930000,3.500000,0.000000,0.020000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,refined_angular_phase_score,formed_fraction,0.50,0.728073,0.992336,0.860204,0.471500,0.500000,0.215552,1.000000,3.930000,3.500000,0.370000,0.060000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,compactness_score,formed_fraction,0.75,0.569001,0.995874,0.889155,0.774000,0.800000,0.030397,1.000000,4.055000,3.750000,0.080000,0.230000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,contact_fraction_vs_target,formed_fraction,0.75,0.005504,0.804380,0.604661,0.777000,0.775000,0.054046,1.000000,4.080000,3.750000,0.030000,0.180000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,CYP_MEP_contact_fraction_vs_target,formed_fraction,0.75,0.005499,0.809377,0.608408,0.778000,0.800000,0.047074,1.000000,4.145000,4.000000,0.320000,0.190000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,axial_register_score,formed_fraction,0.75,0.411398,0.894733,0.773899,0.769500,0.800000,0.089133,1.000000,4.165000,4.000000,0.240000,0.260000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,rmsd_formedness_score,formed_fraction,0.75,0.214419,0.891467,0.722205,0.771000,0.750000,0.024678,1.000000,3.850000,3.500000,0.000000,0.060000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,seed_formation_score,formed_fraction,0.75,0.351245,0.908080,0.768872,0.771500,0.750000,0.028509,1.000000,3.815000,3.500000,0.000000,0.000000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,refined_angular_phase_score,formed_fraction,0.75,0.728073,0.992336,0.926270,0.730303,0.750000,0.148531,0.990000,3.858586,3.500000,0.330000,0.080000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,compactness_score,formed_fraction,0.80,0.569001,0.995874,0.910499,0.823500,0.800000,0.028684,1.000000,3.995000,3.500000,0.080000,0.230000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,contact_fraction_vs_target,formed_fraction,0.80,0.005504,0.804380,0.644605,0.825758,0.800000,0.053354,0.990000,4.045455,3.500000,0.030000,0.160000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,CYP_MEP_contact_fraction_vs_target,formed_fraction,0.80,0.005499,0.809377,0.648602,0.829000,0.850000,0.052526,1.000000,4.150000,3.500000,0.370000,0.180000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,axial_register_score,formed_fraction,0.80,0.411398,0.894733,0.798066,0.821500,0.850000,0.083143,1.000000,4.165000,3.500000,0.200000,0.320000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,rmsd_formedness_score,formed_fraction,0.80,0.214419,0.891467,0.756057,0.822500,0.800000,0.024875,1.000000,3.910000,3.500000,0.000000,0.040000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,seed_formation_score,formed_fraction,0.80,0.351245,0.908080,0.796713,0.822000,0.800000,0.029428,1.000000,3.795000,3.500000,0.000000,0.000000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
5,refined_angular_phase_score,formed_fraction,0.80,0.728073,0.992336,0.939483,0.784848,0.800000,0.133609,0.990000,3.878788,3.500000,0.320000,0.070000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,compactness_score,formed_fraction,0.50,0.597233,0.997380,0.797307,0.520500,0.550000,0.055720,1.000000,4.195000,4.500000,0.100000,0.240000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,contact_fraction_vs_target,formed_fraction,0.50,0.005931,0.805178,0.405555,0.527000,0.550000,0.034943,1.000000,3.965000,4.000000,0.010000,0.160000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,CYP_MEP_contact_fraction_vs_target,formed_fraction,0.50,0.005938,0.807726,0.406832,0.527500,0.500000,0.036315,1.000000,3.975000,4.000000,0.290000,0.230000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,axial_register_score,formed_fraction,0.50,0.428850,0.894824,0.661837,0.510500,0.550000,0.128120,1.000000,4.100000,4.000000,0.280000,0.180000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,rmsd_formedness_score,formed_fraction,0.50,0.212628,0.890194,0.551411,0.520000,0.500000,0.025495,1.000000,3.745000,3.500000,0.000000,0.090000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,seed_formation_score,formed_fraction,0.50,0.361553,0.909636,0.635594,0.523000,0.500000,0.031161,1.000000,3.930000,4.000000,0.000000,0.030000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,refined_angular_phase_score,formed_fraction,0.50,0.714910,0.996536,0.855723,0.476500,0.550000,0.187677,1.000000,4.090000,4.750000,0.320000,0.070000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,compactness_score,formed_fraction,0.75,0.597233,0.997380,0.897343,0.773000,0.800000,0.032726,1.000000,4.015000,4.000000,0.080000,0.300000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,contact_fraction_vs_target,formed_fraction,0.75,0.005931,0.805178,0.605366,0.779000,0.800000,0.052526,1.000000,4.055000,4.000000,0.010000,0.230000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,CYP_MEP_contact_fraction_vs_target,formed_fraction,0.75,0.005938,0.807726,0.607279,0.776000,0.775000,0.047686,1.000000,3.945000,4.000000,0.320000,0.230000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,axial_register_score,formed_fraction,0.75,0.428850,0.894824,0.778330,0.766000,0.800000,0.107675,1.000000,4.095000,4.000000,0.300000,0.130000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,rmsd_formedness_score,formed_fraction,0.75,0.212628,0.890194,0.720803,0.772500,0.750000,0.024875,1.000000,3.800000,3.500000,0.000000,0.040000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,seed_formation_score,formed_fraction,0.75,0.361553,0.909636,0.772615,0.776000,0.800000,0.029563,1.000000,4.060000,4.000000,0.000000,0.000000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,refined_angular_phase_score,formed_fraction,0.75,0.714910,0.996536,0.926129,0.748000,0.800000,0.105811,1.000000,4.030000,4.500000,0.290000,0.070000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,compactness_score,formed_fraction,0.80,0.597233,0.997380,0.917351,0.824000,0.850000,0.029563,1.000000,4.015000,4.000000,0.080000,0.310000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,contact_fraction_vs_target,formed_fraction,0.80,0.005931,0.805178,0.645329,0.829000,0.850000,0.054854,1.000000,4.055000,4.000000,0.020000,0.210000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,CYP_MEP_contact_fraction_vs_target,formed_fraction,0.80,0.005938,0.807726,0.647368,0.828000,0.850000,0.054000,1.000000,4.060000,4.000000,0.320000,0.220000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,axial_register_score,formed_fraction,0.80,0.428850,0.894824,0.801629,0.815500,0.850000,0.100920,1.000000,4.030000,4.000000,0.300000,0.170000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,rmsd_formedness_score,formed_fraction,0.80,0.212628,0.890194,0.754681,0.823500,0.800000,0.024955,1.000000,3.830000,3.500000,0.000000,0.030000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,seed_formation_score,formed_fraction,0.80,0.361553,0.909636,0.800019,0.826500,0.850000,0.029542,1.000000,4.045000,4.000000,0.000000,0.000000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
6,refined_angular_phase_score,formed_fraction,0.80,0.714910,0.996536,0.940211,0.803000,0.850000,0.085387,1.000000,3.965000,4.250000,0.280000,0.060000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,compactness_score,formed_fraction,0.50,0.620286,0.996952,0.808619,0.521500,0.500000,0.046505,1.000000,3.955000,4.000000,0.100000,0.250000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,contact_fraction_vs_target,formed_fraction,0.50,0.007473,0.805585,0.406529,0.526500,0.500000,0.033507,1.000000,4.045000,4.000000,0.010000,0.100000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,CYP_MEP_contact_fraction_vs_target,formed_fraction,0.50,0.007552,0.809685,0.408619,0.526500,0.500000,0.034245,1.000000,4.040000,4.000000,0.280000,0.190000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,axial_register_score,formed_fraction,0.50,0.440355,0.885768,0.663062,0.509500,0.550000,0.140836,1.000000,4.230000,4.500000,0.230000,0.210000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,rmsd_formedness_score,formed_fraction,0.50,0.208583,0.886959,0.547771,0.518500,0.500000,0.025155,1.000000,3.745000,3.500000,0.000000,0.130000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,seed_formation_score,formed_fraction,0.50,0.361750,0.904958,0.633354,0.521500,0.500000,0.037587,1.000000,3.945000,3.750000,0.000000,0.040000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,refined_angular_phase_score,formed_fraction,0.50,0.714187,0.992869,0.853528,0.453000,0.550000,0.241642,1.000000,4.040000,5.000000,0.380000,0.080000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,compactness_score,formed_fraction,0.75,0.620286,0.996952,0.902785,0.770000,0.750000,0.030822,1.000000,3.850000,3.500000,0.110000,0.240000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,contact_fraction_vs_target,formed_fraction,0.75,0.007473,0.805585,0.606057,0.778000,0.750000,0.048642,1.000000,4.070000,3.750000,0.050000,0.100000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,CYP_MEP_contact_fraction_vs_target,formed_fraction,0.75,0.007552,0.809685,0.609152,0.778000,0.750000,0.042615,1.000000,4.080000,4.000000,0.300000,0.240000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,axial_register_score,formed_fraction,0.75,0.440355,0.885768,0.774415,0.761000,0.775000,0.126408,1.000000,4.155000,3.750000,0.220000,0.270000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,rmsd_formedness_score,formed_fraction,0.75,0.208583,0.886959,0.717365,0.773500,0.750000,0.024955,1.000000,3.920000,3.500000,0.000000,0.060000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,seed_formation_score,formed_fraction,0.75,0.361750,0.904958,0.769156,0.774000,0.750000,0.032000,1.000000,3.900000,3.500000,0.000000,0.020000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,refined_angular_phase_score,formed_fraction,0.75,0.714187,0.992869,0.923198,0.704545,0.750000,0.194507,0.990000,3.994949,4.000000,0.320000,0.070000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,compactness_score,formed_fraction,0.80,0.620286,0.996952,0.921619,0.824000,0.800000,0.026907,1.000000,3.970000,3.500000,0.080000,0.270000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,contact_fraction_vs_target,formed_fraction,0.80,0.007473,0.805585,0.645963,0.829500,0.800000,0.051037,1.000000,4.100000,4.000000,0.030000,0.120000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,CYP_MEP_contact_fraction_vs_target,formed_fraction,0.80,0.007552,0.809685,0.649259,0.827000,0.800000,0.045508,1.000000,4.055000,4.000000,0.330000,0.220000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,axial_register_score,formed_fraction,0.80,0.440355,0.885768,0.796685,0.810500,0.800000,0.126352,1.000000,4.090000,3.500000,0.260000,0.250000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,rmsd_formedness_score,formed_fraction,0.80,0.208583,0.886959,0.751284,0.823000,0.800000,0.025904,1.000000,3.865000,3.500000,0.000000,0.050000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,seed_formation_score,formed_fraction,0.80,0.361750,0.904958,0.796317,0.825000,0.800000,0.031225,1.000000,3.935000,3.750000,0.000000,0.010000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
7,refined_angular_phase_score,formed_fraction,0.80,0.714187,0.992869,0.937133,0.769192,0.800000,0.164333,0.990000,3.954545,3.500000,0.300000,0.080000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
