candidate_id,candidate_label,candidate_family,candidate_role,status,model_path,profile_path,reason
base_length_scale_1p15,Base-length variant scale 1.15,base_length_variant,candidate,available,outputs\base_length_sweep\structures\hexaplex_base_length_scale_1p15.pdb,outputs\base_length_sweep\radial_profiles\hexaplex_base_length_scale_1p15_radial.csv,
nick_hexaplex_8hexads,Nick-provided Hexaplex_8Hexads.xyz 8-hexad candidate,nick_provided_8hexad,candidate,available,inputs\candidates\nick_hexaplex_8hexads.xyz,outputs\metrics\hxc590_s1_nick_hexaplex_8hexads_profile.csv,
ideal_antiparallel_30deg_hexaplex,Ideal antiparallel 30-degree hexaplex model (Hexaplex_AntiParallel_30deg_Ideal.pdb),ideal_antiparallel_30deg_hexaplex,candidate,available,inputs\candidates\ideal_antiparallel_30deg_hexaplex.pdb,outputs\metrics\hxc590_s1_ideal_antiparallel_30deg_hexaplex_profile.csv,
negative_hexads_only,Hexads-only partial-structure negative control,wrong_geometry_control,negative_control,available,outputs\intermediates\ladder_structures\reference_hexads_only_heavy_deduped.pdb,outputs\metrics\ladder_diffraction\profiles\reference_hexads_only_heavy_deduped_debye_profile.csv,
negative_scaffold_only,Scaffold-only partial-structure negative control,wrong_geometry_control,negative_control,available,outputs\intermediates\ladder_structures\reference_scaffold_only_complement_heavy_deduped.pdb,outputs\metrics\ladder_diffraction\profiles\reference_scaffold_only_complement_heavy_deduped_debye_profile.csv,
negative_alanine_beta_sheet,Alanine beta-sheet full negative control,wrong_geometry_control,negative_control,unavailable,outputs\intermediates\cleaned_structures\alanine_beta_sheet_full_heavy_deduped.pdb,.,No existing radial profile was found; not generating a new control profile in this pass.
full_length_twist_24,Full-length 24-degree twist variant,full_length_twist_variant,plausible_alternative,unavailable,outputs\length_twist_diffraction\structures\full_length_twist_24.pdb,outputs\mini_hexaplex\radial_profiles\full_length_twist_24_radial.csv,No coordinate/profile files were found for this twist. Existing pNAB helper support requires the current-model baseline YAML and pNAB runtime before generation is safe.
full_length_twist_26,Full-length 26-degree twist variant,full_length_twist_variant,plausible_alternative,unavailable,outputs\length_twist_diffraction\structures\full_length_twist_26.pdb,outputs\mini_hexaplex\radial_profiles\full_length_twist_26_radial.csv,No coordinate/profile files were found for this twist. Existing pNAB helper support requires the current-model baseline YAML and pNAB runtime before generation is safe.
full_length_twist_28,Full-length 28-degree twist variant,full_length_twist_variant,plausible_alternative,unavailable,outputs\length_twist_diffraction\structures\full_length_twist_28.pdb,outputs\mini_hexaplex\radial_profiles\full_length_twist_28_radial.csv,No coordinate/profile files were found for this twist. Existing pNAB helper support requires the current-model baseline YAML and pNAB runtime before generation is safe.
full_length_twist_32,Full-length 32-degree twist variant,full_length_twist_variant,plausible_alternative,unavailable,outputs\length_twist_diffraction\structures\full_length_twist_32.pdb,outputs\mini_hexaplex\radial_profiles\full_length_twist_32_radial.csv,No coordinate/profile files were found for this twist. Existing pNAB helper support requires the current-model baseline YAML and pNAB runtime before generation is safe.
full_length_twist_34,Full-length 34-degree twist variant,full_length_twist_variant,plausible_alternative,unavailable,outputs\length_twist_diffraction\structures\full_length_twist_34.pdb,outputs\mini_hexaplex\radial_profiles\full_length_twist_34_radial.csv,No coordinate/profile files were found for this twist. Existing pNAB helper support requires the current-model baseline YAML and pNAB runtime before generation is safe.
full_length_twist_36,Full-length 36-degree twist variant,full_length_twist_variant,plausible_alternative,unavailable,outputs\length_twist_diffraction\structures\full_length_twist_36.pdb,outputs\mini_hexaplex\radial_profiles\full_length_twist_36_radial.csv,No coordinate/profile files were found for this twist. Existing pNAB helper support requires the current-model baseline YAML and pNAB runtime before generation is safe.
rise_3p20_synthetic_control,Synthetic rise-control scan 3.20 A,rise_variant,plausible_alternative,unavailable,outputs\rise_variants\structures\hexaflex_rise_3p20.pdb,outputs\rise_variants\radial_profiles\hexaflex_rise_3p20_radial.csv,No coordinate/profile files were found for this rise. No safe existing rise-generation workflow or audited stack-axis transform was found in this repo.
rise_3p30_synthetic_control,Synthetic rise-control scan 3.30 A,rise_variant,plausible_alternative,unavailable,outputs\rise_variants\structures\hexaflex_rise_3p30.pdb,outputs\rise_variants\radial_profiles\hexaflex_rise_3p30_radial.csv,No coordinate/profile files were found for this rise. No safe existing rise-generation workflow or audited stack-axis transform was found in this repo.
rise_3p35_synthetic_control,Synthetic rise-control scan 3.35 A,rise_variant,plausible_alternative,unavailable,outputs\rise_variants\structures\hexaflex_rise_3p35.pdb,outputs\rise_variants\radial_profiles\hexaflex_rise_3p35_radial.csv,No coordinate/profile files were found for this rise. No safe existing rise-generation workflow or audited stack-axis transform was found in this repo.
rise_3p40_synthetic_control,Synthetic rise-control scan 3.40 A,rise_variant,plausible_alternative,unavailable,outputs\rise_variants\structures\hexaflex_rise_3p40.pdb,outputs\rise_variants\radial_profiles\hexaflex_rise_3p40_radial.csv,No coordinate/profile files were found for this rise. No safe existing rise-generation workflow or audited stack-axis transform was found in this repo.
rise_3p50_synthetic_control,Synthetic rise-control scan 3.50 A,rise_variant,plausible_alternative,unavailable,outputs\rise_variants\structures\hexaflex_rise_3p50.pdb,outputs\rise_variants\radial_profiles\hexaflex_rise_3p50_radial.csv,No coordinate/profile files were found for this rise. No safe existing rise-generation workflow or audited stack-axis transform was found in this repo.
rise_3p60_synthetic_control,Synthetic rise-control scan 3.60 A,rise_variant,plausible_alternative,unavailable,outputs\rise_variants\structures\hexaflex_rise_3p60.pdb,outputs\rise_variants\radial_profiles\hexaflex_rise_3p60_radial.csv,No coordinate/profile files were found for this rise. No safe existing rise-generation workflow or audited stack-axis transform was found in this repo.
